name1	name2	form1	form2	result	concentration1	concentration2	goal_diff	score_diff	history	motivation1	motivation2
Эвертон	Сток Сити	0.7	0.5	1.0	1.0	1.0	0.5789473684210527	0.6904761904761905	0.75	0.0	0.0
Эвертон	Ньюкасл Юнайтед	0.7	0.5	1.0	1.0	0.0	0.6470588235294118	0.5714285714285714	0.75	0.0	0.0
Эвертон	Кристал Пэлас	1.0	0.7	0.0	1.0	1.0	0.6968085106382979	0.7788461538461539	0.25	0.9743589743589745	0.8717948717948718
Эвертон	Суонси Сити	0.6	0.4	1.0	1.0	1.0	0.6075949367088608	0.7619047619047619	1.0	0.9166666666666666	0.9583333333333334
Эвертон	Вест Хэм Юнайтед	0.3	0.9	1.0	1.0	1.0	0.5878378378378378	0.6794871794871795	1.0	0.8484848484848485	0.8181818181818181
Эвертон	Сандерленд	0.9	0.3	0.0	1.0	1.0	0.8163265306122449	0.9615384615384616	0.5	0.9841269841269842	0.9523809523809524
Эвертон	Астон Вилла	0.6	0.6	1.0	1.0	1.0	0.6214285714285714	0.7142857142857143	0.75	0.9777777777777776	0.8666666666666667
Эвертон	Халл Сити	0.7	0.6	1.0	1.0	1.0	0.55	0.5333333333333333	0.5	0.0	0.0
Эвертон	Норвич Сити	0.7	0.3	1.0	0.4	1.0	0.7636363636363637	0.7903225806451613	0.25	0.9814814814814816	0.962962962962963
Эвертон	Фулхэм	0.7	0.2	1.0	1.0	1.0	0.7386363636363636	0.7777777777777778	0.5	0.9855072463768116	0.7971014492753623
Эвертон	Кардифф Сити	0.4	0.3	1.0	1.0	1.0	0.75	0.7555555555555555	0.25	0.8148148148148148	0.14814814814814814
Тоттенхэм Хотспур	Манчестер Сити	0.9	1.0	0.0	1.0	1.0	0.2348484848484849	0.3970588235294118	0.5	0.9791666666666666	0.9791666666666666
Тоттенхэм Хотспур	Ливерпуль	0.5	0.7	0.0	1.0	0.4	0.3191489361702128	0.4423076923076923	0.5	0.9565217391304348	0.9855072463768116
Тоттенхэм Хотспур	Челси	0.8	0.7	0.5	0.4	0.2	0.5	0.5909090909090909	0.25	0.0	0.0
Тоттенхэм Хотспур	Арсенал	0.6	0.5	0.0	0.4	0.0	0.3481012658227848	0.4285714285714286	0.0	1.0	1.0
