name1	name2	form1	form2	result
Суонси Сити	Норвич Сити	0.2	0.5	1
Суонси Сити	Фулхэм	0.1	0.4	1
Суонси Сити	Кардифф Сити	0.2	0.2	1
Вест Хэм Юнайтед	Манчестер Сити	0.3	0.7	0
Вест Хэм Юнайтед	Ливерпуль	0.4	1.0	0
Вест Хэм Юнайтед	Челси	0.4	0.7	0
Вест Хэм Юнайтед	Арсенал	0.3	0.6	0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.2	0.7	1
Вест Хэм Юнайтед	Манчестер Юнайтед	0.6	0.6	0
Вест Хэм Юнайтед	Саутгемптон	0.7	0.7	1
Вест Хэм Юнайтед	Ньюкасл Юнайтед	0.3	0.4	0
Вест Хэм Юнайтед	Кристал Пэлас	0.4	0.8	0
Вест Хэм Юнайтед	Суонси Сити	0.4	0.3	1
Вест Хэм Юнайтед	Сандерленд	0.2	0.3	0.5
Вест Хэм Юнайтед	Астон Вилла	0.3	0.5	0.5
Вест Хэм Юнайтед	Халл Сити	0.4	0.4	1
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.1	0.2	0.5
Вест Хэм Юнайтед	Норвич Сити	0.7	0.4	1
Вест Хэм Юнайтед	Фулхэм	0.2	0.2	1
Сандерленд	Манчестер Сити	0.2	0.6	1
Сандерленд	Ливерпуль	0.1	0.7	0
Сандерленд	Челси	0.5	0.7	0
Сандерленд	Эвертон	0.1	1.0	0
Сандерленд	Тоттенхэм Хотспур	0.3	0.4	0
Сандерленд	Манчестер Юнайтед	0.1	0.3	0
Сандерленд	Саутгемптон	0.6	0.4	0.5
Сандерленд	Сток Сити	0.6	0.1	1
Сандерленд	Ньюкасл Юнайтед	0.0	0.5	1
Сандерленд	Кристал Пэлас	0.5	0.3	0.5
Сандерленд	Суонси Сити	0.9	0.4	0
Сандерленд	Вест Хэм Юнайтед	0.1	0.4	0
Сандерленд	Астон Вилла	0.5	0.1	0
Сандерленд	Халл Сити	0.7	0.1	0
Сандерленд	Вест Бромвич Альбион	0.7	0.5	1
Сандерленд	Норвич Сити	0.2	0.5	0.5
Сандерленд	Кардифф Сити	0.3	0.4	1
Астон Вилла	Манчестер Сити	0.4	0.7	1
Астон Вилла	Челси	0.3	0.9	1
Астон Вилла	Арсенал	0.3	0.7	0
Астон Вилла	Эвертон	0.5	0.8	0
Астон Вилла	Тоттенхэм Хотспур	0.5	0.5	0
Астон Вилла	Манчестер Юнайтед	0.6	0.4	0
Астон Вилла	Саутгемптон	0.2	0.4	0.5
Астон Вилла	Сток Сити	0.5	0.6	0
Астон Вилла	Кристал Пэлас	0.3	0.4	0
Астон Вилла	Суонси Сити	0.2	0.4	0.5
Астон Вилла	Вест Хэм Юнайтед	0.5	0.5	0
Астон Вилла	Сандерленд	0.4	0.4	0.5
Астон Вилла	Халл Сити	0.1	0.3	1
Астон Вилла	Вест Бромвич Альбион	0.4	0.5	1
Астон Вилла	Норвич Сити	0.3	0.4	1
Астон Вилла	Фулхэм	0.4	0.2	0
Астон Вилла	Кардифф Сити	0.4	0.5	1
Халл Сити	Манчестер Сити	0.5	0.7	0
Халл Сити	Ливерпуль	0.2	0.6	1
Халл Сити	Челси	0.4	0.9	0
Халл Сити	Арсенал	0.4	0.4	0
Халл Сити	Эвертон	0.3	0.4	0
Халл Сити	Тоттенхэм Хотспур	0.2	0.8	0.5
Халл Сити	Манчестер Юнайтед	0.5	0.5	0
Халл Сити	Саутгемптон	0.3	0.7	0
Халл Сити	Сток Сити	0.3	0.6	0.5
