name1	name2	concentration1	concentration2
Ньюкасл Юнайтед	Кристал Пэлас	0.0	1.0
Ньюкасл Юнайтед	Суонси Сити	1.0	1.0
Ньюкасл Юнайтед	Вест Хэм Юнайтед	1.0	1.0
Ньюкасл Юнайтед	Сандерленд	1.0	1.0
Ньюкасл Юнайтед	Астон Вилла	0.4	0.19999999999999996
Ньюкасл Юнайтед	Халл Сити	1.0	1.0
Ньюкасл Юнайтед	Вест Бромвич Альбион	0.6	1.0
Ньюкасл Юнайтед	Норвич Сити	0.4	1.0
Ньюкасл Юнайтед	Фулхэм	1.0	0.0
Ньюкасл Юнайтед	Кардифф Сити	1.0	1.0
Кристал Пэлас	Манчестер Сити	1.0	1.0
Кристал Пэлас	Ливерпуль	1.0	1.0
Кристал Пэлас	Челси	1.0	0.19999999999999996
Кристал Пэлас	Арсенал	1.0	1.0
Кристал Пэлас	Эвертон	1.0	1.0
Кристал Пэлас	Тоттенхэм Хотспур	1.0	1.0
Кристал Пэлас	Манчестер Юнайтед	1.0	0.4
Кристал Пэлас	Саутгемптон	1.0	1.0
Кристал Пэлас	Сток Сити	1.0	1.0
Кристал Пэлас	Ньюкасл Юнайтед	1.0	1.0
Кристал Пэлас	Суонси Сити	1.0	1.0
Кристал Пэлас	Вест Хэм Юнайтед	1.0	1.0
Кристал Пэлас	Сандерленд	1.0	1.0
Кристал Пэлас	Астон Вилла	1.0	0.0
Кристал Пэлас	Халл Сити	1.0	1.0
Кристал Пэлас	Вест Бромвич Альбион	1.0	1.0
Кристал Пэлас	Норвич Сити	1.0	1.0
Кристал Пэлас	Фулхэм	1.0	1.0
Кристал Пэлас	Кардифф Сити	1.0	1.0
Суонси Сити	Манчестер Сити	1.0	1.0
Суонси Сити	Ливерпуль	1.0	1.0
Суонси Сити	Челси	1.0	0.19999999999999996
Суонси Сити	Арсенал	1.0	1.0
Суонси Сити	Эвертон	1.0	1.0
Суонси Сити	Тоттенхэм Хотспур	1.0	1.0
Суонси Сити	Манчестер Юнайтед	1.0	1.0
Суонси Сити	Саутгемптон	1.0	0.4
Суонси Сити	Сток Сити	1.0	1.0
