name1	name2	history	result
Ньюкасл Юнайтед	Вест Бромвич Альбион	0.5	1
Ньюкасл Юнайтед	Суонси Сити	0.75	0
Ньюкасл Юнайтед	Вест Хэм Юнайтед	1.0	0
Ньюкасл Юнайтед	Норвич Сити	0.5	1
Ньюкасл Юнайтед	Фулхэм	0.0	1
Ньюкасл Юнайтед	Сток Сити	0.5	1
Ньюкасл Юнайтед	Саутгемптон	0.0	1
Ньюкасл Юнайтед	Астон Вилла	0.75	0.5
Ньюкасл Юнайтед	Сандерленд	0.5	0
Ньюкасл Юнайтед	Уиган Атлетик	0.5	1
Ньюкасл Юнайтед	Рединг	0.75	0
Ньюкасл Юнайтед	Куинз Парк Рейнджерс	0.75	1
Сандерленд	Манчестер Юнайтед	0.0	0
Сандерленд	Манчестер Сити	0.25	1
Сандерленд	Челси	0.0	0
Сандерленд	Арсенал	0.75	0
Сандерленд	Тоттенхэм Хотспур	0.25	0
Сандерленд	Эвертон	0.0	1
Сандерленд	Ливерпуль	0.75	0.5
Сандерленд	Вест Бромвич Альбион	0.25	0
Сандерленд	Суонси Сити	0.75	0.5
Сандерленд	Вест Хэм Юнайтед	0.75	1
Сандерленд	Норвич Сити	0.5	0.5
Сандерленд	Фулхэм	0.5	0.5
Сандерленд	Сток Сити	0.75	0.5
Сандерленд	Саутгемптон	0.5	0.5
Сандерленд	Астон Вилла	0.5	0
Сандерленд	Ньюкасл Юнайтед	0.25	0.5
Сандерленд	Уиган Атлетик	0.5	1
Сандерленд	Рединг	0.5	1
Сандерленд	Куинз Парк Рейнджерс	1.0	0.5
Уиган Атлетик	Манчестер Юнайтед	0.5	0
Уиган Атлетик	Манчестер Сити	0.0	0
Уиган Атлетик	Челси	0.25	0
Уиган Атлетик	Арсенал	0.5	0
Уиган Атлетик	Тоттенхэм Хотспур	0.5	0.5
Уиган Атлетик	Эвертон	0.25	0.5
Уиган Атлетик	Ливерпуль	0.5	0
Уиган Атлетик	Вест Бромвич Альбион	0.75	0
Уиган Атлетик	Суонси Сити	0.0	0
Уиган Атлетик	Вест Хэм Юнайтед	1.0	1
Уиган Атлетик	Норвич Сити	0.25	1
Уиган Атлетик	Фулхэм	0.0	0
Уиган Атлетик	Сток Сити	0.75	0.5
Уиган Атлетик	Саутгемптон	0.5	0.5
Уиган Атлетик	Астон Вилла	0.75	0.5
Уиган Атлетик	Ньюкасл Юнайтед	0.5	1
Уиган Атлетик	Сандерленд	0.0	0
Уиган Атлетик	Рединг	0.25	1
Уиган Атлетик	Куинз Парк Рейнджерс	0.5	0.5
Рединг	Манчестер Юнайтед	0.25	0
Рединг	Манчестер Сити	0.0	0
Рединг	Челси	0.0	0.5
Рединг	Арсенал	0.0	0
Рединг	Тоттенхэм Хотспур	0.0	0
Рединг	Эвертон	0.5	1
Рединг	Ливерпуль	0.0	0.5
Рединг	Вест Бромвич Альбион	0.5	1
