name1	name2	concentration1	concentration2
Саутгемптон	Сандерленд	1.0	1.0
Саутгемптон	Уиган Атлетик	1.0	1.0
Саутгемптон	Рединг	1.0	1.0
Саутгемптон	Куинз Парк Рейнджерс	1.0	1.0
Астон Вилла	Манчестер Юнайтед	1.0	1.0
Астон Вилла	Манчестер Сити	1.0	0.19999999999999996
Астон Вилла	Челси	1.0	1.0
Астон Вилла	Арсенал	1.0	0.8
Астон Вилла	Тоттенхэм Хотспур	1.0	1.0
Астон Вилла	Эвертон	1.0	1.0
Астон Вилла	Ливерпуль	1.0	0.0
Астон Вилла	Вест Бромвич Альбион	1.0	0.19999999999999996
Астон Вилла	Суонси Сити	1.0	1.0
Астон Вилла	Вест Хэм Юнайтед	1.0	1.0
Астон Вилла	Норвич Сити	1.0	1.0
Астон Вилла	Фулхэм	1.0	1.0
Астон Вилла	Сток Сити	1.0	1.0
Астон Вилла	Саутгемптон	1.0	1.0
Астон Вилла	Ньюкасл Юнайтед	1.0	1.0
Астон Вилла	Сандерленд	1.0	1.0
Астон Вилла	Уиган Атлетик	1.0	1.0
Астон Вилла	Рединг	1.0	1.0
Астон Вилла	Куинз Парк Рейнджерс	1.0	1.0
Ньюкасл Юнайтед	Манчестер Юнайтед	1.0	1.0
Ньюкасл Юнайтед	Манчестер Сити	1.0	1.0
Ньюкасл Юнайтед	Челси	1.0	0.8
Ньюкасл Юнайтед	Арсенал	1.0	1.0
Ньюкасл Юнайтед	Тоттенхэм Хотспур	1.0	1.0
Ньюкасл Юнайтед	Эвертон	1.0	1.0
Ньюкасл Юнайтед	Ливерпуль	1.0	0.8
Ньюкасл Юнайтед	Вест Бромвич Альбион	1.0	0.8
Ньюкасл Юнайтед	Суонси Сити	1.0	1.0
Ньюкасл Юнайтед	Вест Хэм Юнайтед	1.0	0.19999999999999996
Ньюкасл Юнайтед	Норвич Сити	1.0	1.0
Ньюкасл Юнайтед	Фулхэм	1.0	1.0
Ньюкасл Юнайтед	Сток Сити	1.0	1.0
Ньюкасл Юнайтед	Саутгемптон	1.0	1.0
Ньюкасл Юнайтед	Астон Вилла	1.0	1.0
Ньюкасл Юнайтед	Сандерленд	1.0	1.0
