name1	name2	form1	form2	result
Фулхэм	Суонси Сити	0.3	0.4	0
Фулхэм	Вест Хэм Юнайтед	0.4	0.3	1
Фулхэм	Сток Сити	0.4	0.3	1
Фулхэм	Саутгемптон	0.3	0.5	0.5
Фулхэм	Астон Вилла	0.5	0.4	1
Фулхэм	Ньюкасл Юнайтед	0.2	0.2	1
Фулхэм	Сандерленд	0.6	0.2	0
Фулхэм	Уиган Атлетик	0.3	0.2	0.5
Фулхэм	Рединг	0.1	0.2	0
Фулхэм	Куинз Парк Рейнджерс	0.6	0.4	1
Сток Сити	Манчестер Юнайтед	0.1	0.8	0
Сток Сити	Челси	0.5	0.8	0
Сток Сити	Тоттенхэм Хотспур	0.5	0.7	0
Сток Сити	Эвертон	0.8	0.5	0.5
Сток Сити	Ливерпуль	0.7	0.6	1
Сток Сити	Вест Бромвич Альбион	0.2	0.6	0.5
Сток Сити	Суонси Сити	0.4	0.5	1
Сток Сити	Вест Хэм Юнайтед	0.3	0.2	0
Сток Сити	Норвич Сити	0.3	0.4	1
Сток Сити	Фулхэм	0.4	0.5	1
Сток Сити	Саутгемптон	0.7	0.4	0.5
Сток Сити	Астон Вилла	0.1	0.4	0
Сток Сити	Ньюкасл Юнайтед	0.6	0.3	1
Сток Сити	Сандерленд	0.4	0.5	0.5
Сток Сити	Уиган Атлетик	0.3	0.3	0.5
Сток Сити	Рединг	0.1	0.7	1
Сток Сити	Куинз Парк Рейнджерс	0.4	0.2	1
Саутгемптон	Манчестер Сити	0.5	0.8	1
Саутгемптон	Челси	0.5	0.6	1
Саутгемптон	Арсенал	0.4	0.8	0.5
Саутгемптон	Тоттенхэм Хотспур	0.3	0.8	0
Саутгемптон	Эвертон	0.6	0.7	0.5
Саутгемптон	Ливерпуль	0.4	0.7	1
Саутгемптон	Вест Бромвич Альбион	0.8	0.4	0
Саутгемптон	Суонси Сити	0.1	0.4	0.5
Саутгемптон	Вест Хэм Юнайтед	0.7	0.5	0.5
Саутгемптон	Норвич Сити	0.5	0.7	0.5
Саутгемптон	Фулхэм	0.2	0.4	0.5
Саутгемптон	Сток Сити	0.3	0.5	0.5
Саутгемптон	Ньюкасл Юнайтед	0.3	0.4	1
Саутгемптон	Сандерленд	0.7	0.3	0
Саутгемптон	Рединг	0.6	0.3	1
Саутгемптон	Куинз Парк Рейнджерс	0.4	0.3	0
Астон Вилла	Манчестер Юнайтед	0.4	0.8	0
Астон Вилла	Манчестер Сити	0.4	0.6	0
Астон Вилла	Челси	0.7	0.8	0
Астон Вилла	Арсенал	0.3	0.5	0.5
