name1	name2	motivation1	motivation2
Суонси Сити	Тоттенхэм Хотспур	0.6666666666666667	0.9583333333333334
Суонси Сити	Эвертон	0	0
Суонси Сити	Ливерпуль	0	0
Суонси Сити	Вест Бромвич Альбион	0	0
Суонси Сити	Вест Хэм Юнайтед	0	0
Суонси Сити	Норвич Сити	0.9565217391304348	0.9420289855072463
Суонси Сити	Фулхэм	1	1
Суонси Сити	Сток Сити	0.9166666666666666	0.8958333333333334
Суонси Сити	Саутгемптон	1	1
Суонси Сити	Астон Вилла	0.9074074074074074	0.9814814814814815
Суонси Сити	Ньюкасл Юнайтед	0.8484848484848485	0.8181818181818181
Суонси Сити	Сандерленд	0	0
Суонси Сити	Уиган Атлетик	0	0
Суонси Сити	Рединг	0	0
Суонси Сити	Куинз Парк Рейнджерс	0.8205128205128205	0.8974358974358975
Вест Хэм Юнайтед	Манчестер Юнайтед	0.8666666666666667	0.5
Вест Хэм Юнайтед	Манчестер Сити	0	0
Вест Хэм Юнайтед	Челси	0	0
Вест Хэм Юнайтед	Арсенал	0	0
Вест Хэм Юнайтед	Тоттенхэм Хотспур	0.8055555555555556	0.9722222222222222
Вест Хэм Юнайтед	Эвертон	0.9365079365079365	0.9682539682539683
Вест Хэм Юнайтед	Ливерпуль	0.9710144927536232	0.9420289855072463
Вест Хэм Юнайтед	Вест Бромвич Альбион	0.875	0.8333333333333334
Вест Хэм Юнайтед	Суонси Сити	0.8333333333333333	0.9047619047619048
Вест Хэм Юнайтед	Норвич Сити	0.9074074074074074	0.8703703703703703
Вест Хэм Юнайтед	Фулхэм	0	0
Вест Хэм Юнайтед	Сток Сити	0	0
Вест Хэм Юнайтед	Саутгемптон	0	0
Вест Хэм Юнайтед	Астон Вилла	0	0
Вест Хэм Юнайтед	Ньюкасл Юнайтед	1	1
Вест Хэм Юнайтед	Сандерленд	0	0
Вест Хэм Юнайтед	Уиган Атлетик	1	1
Вест Хэм Юнайтед	Рединг	1	1
Вест Хэм Юнайтед	Куинз Парк Рейнджерс	0.8541666666666666	0.8958333333333334
Норвич Сити	Манчестер Юнайтед	0	0
Норвич Сити	Манчестер Сити	0.8596491228070176	0.9298245614035088
Норвич Сити	Челси	0.9166666666666666	0.9666666666666667
Норвич Сити	Арсенал	0	0
Норвич Сити	Тоттенхэм Хотспур	0.8666666666666667	0.9333333333333333
Норвич Сити	Эвертон	0.8611111111111112	0.9444444444444444
Норвич Сити	Ливерпуль	0	0
Норвич Сити	Вест Бромвич Альбион	1	1
Норвич Сити	Суонси Сити	0.8095238095238095	0.5238095238095237
Норвич Сити	Вест Хэм Юнайтед	0	0
Норвич Сити	Фулхэм	0.8717948717948718	0.8717948717948718
Норвич Сити	Сток Сити	0	0
Норвич Сити	Саутгемптон	0.7333333333333334	0.9
Норвич Сити	Астон Вилла	1	1
Норвич Сити	Ньюкасл Юнайтед	0.8627450980392157	0.9607843137254902
Норвич Сити	Сандерленд	0	0
Норвич Сити	Уиган Атлетик	0.9393939393939394	0.8333333333333334
Норвич Сити	Рединг	1	1
Норвич Сити	Куинз Парк Рейнджерс	0	0
Фулхэм	Манчестер Юнайтед	0.8095238095238095	0.8333333333333333
Фулхэм	Манчестер Сити	0	0
Фулхэм	Челси	0.8	0.9333333333333333
Фулхэм	Арсенал	1	1
Фулхэм	Тоттенхэм Хотспур	0	0
Фулхэм	Эвертон	0	0
Фулхэм	Ливерпуль	1	1
Фулхэм	Вест Бромвич Альбион	0	0
Фулхэм	Суонси Сити	0.9122807017543859	0.8596491228070176
Фулхэм	Вест Хэм Юнайтед	0.9111111111111111	0.8444444444444444
Фулхэм	Норвич Сити	0	0
Фулхэм	Сток Сити	0.8611111111111112	0.75
Фулхэм	Саутгемптон	0.9166666666666666	0.75
Фулхэм	Астон Вилла	0	0
Фулхэм	Ньюкасл Юнайтед	0.927536231884058	0.9710144927536232
Фулхэм	Сандерленд	0	0
Фулхэм	Уиган Атлетик	0.8823529411764706	0.6862745098039216
Фулхэм	Рединг	1	1
Фулхэм	Куинз Парк Рейнджерс	0.75	0.7083333333333333
Сток Сити	Манчестер Юнайтед	0.8333333333333334	0.33333333333333337
Сток Сити	Манчестер Сити	0	0
Сток Сити	Челси	0.9019607843137255	0.9803921568627451
Сток Сити	Арсенал	0	0
Сток Сити	Тоттенхэм Хотспур	1	1
Сток Сити	Эвертон	0.9545454545454546	0.9545454545454546
Сток Сити	Ливерпуль	0.9166666666666666	0.9166666666666666
Сток Сити	Вест Бромвич Альбион	0.7777777777777778	0.9259259259259259
Сток Сити	Суонси Сити	0	0
Сток Сити	Вест Хэм Юнайтед	0.7272727272727273	0.8181818181818181
Сток Сити	Норвич Сити	1	1
Сток Сити	Фулхэм	0	0
Сток Сити	Саутгемптон	0.9122807017543859	0.9824561403508771
Сток Сити	Астон Вилла	0.8095238095238095	0.0
Сток Сити	Ньюкасл Юнайтед	0	0
Сток Сити	Сандерленд	0	0
Сток Сити	Уиган Атлетик	0.8222222222222222	0.9777777777777777
Сток Сити	Рединг	0.8205128205128205	0.9487179487179487
Сток Сити	Куинз Парк Рейнджерс	0	0
Саутгемптон	Манчестер Юнайтед	0	0
Саутгемптон	Манчестер Сити	0.9743589743589743	0.8205128205128205
Саутгемптон	Челси	0.9583333333333334	0.9583333333333334
Саутгемптон	Арсенал	0.9814814814814815	0.9444444444444444
Саутгемптон	Тоттенхэм Хотспур	0	0
Саутгемптон	Эвертон	0.9583333333333334	0.8125
Саутгемптон	Ливерпуль	0.962962962962963	0.9259259259259259
Саутгемптон	Вест Бромвич Альбион	1	1
Саутгемптон	Суонси Сити	0	0
Саутгемптон	Вест Хэм Юнайтед	0.6666666666666667	0.6666666666666667
Саутгемптон	Норвич Сити	0	0
Саутгемптон	Фулхэм	0	0
Саутгемптон	Сток Сити	1	1
Саутгемптон	Астон Вилла	0	0
Саутгемптон	Ньюкасл Юнайтед	0	0
Саутгемптон	Сандерленд	0.8095238095238095	0.9841269841269842
Саутгемптон	Уиган Атлетик	0	0
Саутгемптон	Рединг	0.9855072463768116	0.9565217391304348
Саутгемптон	Куинз Парк Рейнджерс	0.9090909090909091	0.7878787878787878
Астон Вилла	Манчестер Юнайтед	0	0
Астон Вилла	Манчестер Сити	0.9393939393939394	0.9090909090909091
Астон Вилла	Челси	1	1
Астон Вилла	Арсенал	0	0
Астон Вилла	Тоттенхэм Хотспур	0.95	0.9666666666666667
Астон Вилла	Эвертон	0	0
Астон Вилла	Ливерпуль	0.125	0.75
Астон Вилла	Вест Бромвич Альбион	0	0
Астон Вилла	Суонси Сити	0	0
Астон Вилла	Вест Хэм Юнайтед	0.9487179487179487	0.8205128205128205
Астон Вилла	Норвич Сити	0	0
Астон Вилла	Фулхэм	0.8888888888888888	0.5555555555555556
Астон Вилла	Сток Сити	0.9855072463768116	0.9855072463768116
Астон Вилла	Саутгемптон	0.9803921568627451	0.6862745098039216
Астон Вилла	Ньюкасл Юнайтед	0.9777777777777777	0.9777777777777777
Астон Вилла	Сандерленд	1	1
Астон Вилла	Уиган Атлетик	0.9649122807017544	0.9824561403508771
Астон Вилла	Рединг	0	0
Астон Вилла	Куинз Парк Рейнджерс	0.8888888888888888	0.962962962962963
Ньюкасл Юнайтед	Манчестер Юнайтед	0	0
Ньюкасл Юнайтед	Манчестер Сити	0.9696969696969697	0.9393939393939394
Ньюкасл Юнайтед	Челси	0.9047619047619048	0.9047619047619048
Ньюкасл Юнайтед	Арсенал	1	1
Ньюкасл Юнайтед	Тоттенхэм Хотспур	0	0
Ньюкасл Юнайтед	Эвертон	0.962962962962963	0.8333333333333334
Ньюкасл Юнайтед	Ливерпуль	1	1
Ньюкасл Юнайтед	Вест Бромвич Альбион	0	0
Ньюкасл Юнайтед	Суонси Сити	0	0
Ньюкасл Юнайтед	Вест Хэм Юнайтед	0	0
Ньюкасл Юнайтед	Норвич Сити	0	0
Ньюкасл Юнайтед	Фулхэм	0.9047619047619048	0.6190476190476191
Ньюкасл Юнайтед	Сток Сити	0.9	0.8
Ньюкасл Юнайтед	Саутгемптон	0.9166666666666666	0.9166666666666666
Ньюкасл Юнайтед	Астон Вилла	0	0
Ньюкасл Юнайтед	Сандерленд	1	1
Ньюкасл Юнайтед	Уиган Атлетик	0	0
Ньюкасл Юнайтед	Рединг	0.9583333333333334	0.9375
Ньюкасл Юнайтед	Куинз Парк Рейнджерс	0.9682539682539683	0.9206349206349206
Сандерленд	Манчестер Юнайтед	0.9583333333333334	0.375
Сандерленд	Манчестер Сити	0.9333333333333333	0.9333333333333333
Сандерленд	Челси	0.9855072463768116	0.9565217391304348
Сандерленд	Арсенал	0.8461538461538461	0.9743589743589743
Сандерленд	Тоттенхэм Хотспур	0.8947368421052632	0.9649122807017544
Сандерленд	Эвертон	1	1
Сандерленд	Ливерпуль	0	0
Сандерленд	Вест Бромвич Альбион	0	0
Сандерленд	Суонси Сити	0.8222222222222222	0.9111111111111111
Сандерленд	Вест Хэм Юнайтед	0.9215686274509804	0.8431372549019608
Сандерленд	Норвич Сити	0.7777777777777778	0.8888888888888888
Сандерленд	Фулхэм	0.8484848484848485	0.7575757575757576
Сандерленд	Сток Сити	1	1
Сандерленд	Саутгемптон	1	1
Сандерленд	Астон Вилла	0	0
Сандерленд	Ньюкасл Юнайтед	1	1
Сандерленд	Уиган Атлетик	0	0
Сандерленд	Рединг	0	0
Сандерленд	Куинз Парк Рейнджерс	0	0
Уиган Атлетик	Манчестер Юнайтед	0.9814814814814815	0.8703703703703703
Уиган Атлетик	Манчестер Сити	0	0
Уиган Атлетик	Челси	0	0
Уиган Атлетик	Арсенал	0.8095238095238095	0.9682539682539683
Уиган Атлетик	Тоттенхэм Хотспур	1	1
Уиган Атлетик	Эвертон	0	0
Уиган Атлетик	Ливерпуль	0.4545454545454546	0.9090909090909091
Уиган Атлетик	Вест Бромвич Альбион	0	0
Уиган Атлетик	Суонси Сити	0.8333333333333334	0.7222222222222222
Уиган Атлетик	Вест Хэм Юнайтед	0	0
Уиган Атлетик	Норвич Сити	0.875	0.8333333333333334
Уиган Атлетик	Фулхэм	0	0
Уиган Атлетик	Сток Сити	0	0
Уиган Атлетик	Саутгемптон	0.5714285714285714	0.9285714285714286
Уиган Атлетик	Астон Вилла	1	1
Уиган Атлетик	Ньюкасл Юнайтед	0.7777777777777778	0.8888888888888888
Уиган Атлетик	Сандерленд	0.6875	0.875
Уиган Атлетик	Рединг	0	0
Уиган Атлетик	Куинз Парк Рейнджерс	0.9855072463768116	0.9130434782608696
Рединг	Манчестер Юнайтед	0	0
